date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:01	5550/5550	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Jan%202021%2009:26:01%20GMT	http://generator-bin-card.ml/robots.txt		(from )
10:26:02	12030/12030	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Jan%202021%2009:26:02%20GMT	http://generator-bin-card.ml/	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/index.html	(from )
10:26:02	4193/4193	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202020%2017:39:05%20GMT	http://generator-bin-card.ml/ds_files/img/not_ic96.png	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/img/not_ic96.png	(from http://generator-bin-card.ml/)
10:26:03	4193/4193	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202020%2017:40:03%20GMT	http://generator-bin-card.ml/ds_files/img/not_ic48.png	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/img/not_ic48.png	(from http://generator-bin-card.ml/)
10:26:05	4484/4484	---MCZ	200	added ('OK')	text/css	date:Mon,%2012%20Oct%202020%2017:28:13%20GMT	http://generator-bin-card.ml/ds_files/css/style.css	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/css/style.css	(from http://generator-bin-card.ml/)
10:26:05	29063/29063	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/maxcdn.bootstrapcdn.com/font-awesome/4.6.3/css/font-awesome.min.css	(from http://generator-bin-card.ml/)
10:26:09	21419/21419	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Oct%202020%2017:22:03%20GMT	http://generator-bin-card.ml/ds_files/js/F4K_w78Gt0X.js	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/js/F4K_w78Gt0X.js	(from http://generator-bin-card.ml/)
10:26:09	4193/4193	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202020%2017:41:05%20GMT	http://generator-bin-card.ml/ds_files/img/favicon.png	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/img/favicon.png	(from http://generator-bin-card.ml/)
10:26:09	47051/47051	---MC-	200	added ('OK')	text/javascript	date:Fri,%2023%20Oct%202020%2003:00:57%20GMT	https://www.google-analytics.com/analytics.js	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/www.google-analytics.com/analytics.js	(from http://generator-bin-card.ml/)
10:26:10	2046/2046	---M--	200	added ('OK')	image/png	etag:%225ff6eab1-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from http://generator-bin-card.ml/)
10:26:11	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Jan%202021%2009:26:13%20GMT	https://c.top4top.net/p_649i9u3q1.jpg	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/c.top4top.net/p_649i9u3q1.9.delayed	(from http://generator-bin-card.ml/ds_files/css/style.css)
10:26:18	115031/115031	---M--	200	added ('OK')	image/jpeg	etag:%2259dd88c6-1c157%22	https://c.top4top.io/p_649i9u3q1.jpg	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/c.top4top.io/13838512_994691907311106_328893889_o.jpg	(from http://generator-bin-card.ml/ds_files/css/style.css)
10:26:19	175/175	---M--	200	added ('OK')	image/png	date:Mon,%2012%20Oct%202020%2017:31:17%20GMT	http://generator-bin-card.ml/ds_files/img/close.png	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/img/close.png	(from http://generator-bin-card.ml/ds_files/css/style.css)
10:26:22	95930/95930	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Oct%202020%2017:22:15%20GMT	http://generator-bin-card.ml/ds_files/js/jquery-1.11.2.min.js	/storage/emulated/0/HTTrack/Websites/http:/generator-bin-card.ml/generator-bin-card.ml/ds_files/js/jquery-1.11.2.min.js	(from http://generator-bin-card.ml/)
